record_id,survey_code,interview_date,department_code,municipality_code,urban_rural,respondent_age,respondent_sex,household_size,monthly_income_gtq
VIDEO-000045,ENHOGAR,2026-08-10,01,0145,R,52,F,2,7568.00
VIDEO-000046,ENHOGAR,2026-08-11,02,0246,U,59,M,5,7705.00
VIDEO-000047,ENHOGAR,2026-08-12,03,0347,U,66,X,8,7842.00
VIDEO-000048,ENHOGAR,2026-08-13,04,0448,R,73,NR,3,7979.00
VIDEO-000049,ENHOGAR,2026-08-14,05,0549,U,80,F,6,8116.00
VIDEO-000050,ENHOGAR,2026-08-15,06,0650,U,87,M,1,8253.00
VIDEO-000051,ENHOGAR,2026-08-16,07,0751,R,21,X,4,8390.00
VIDEO-000052,ENHOGAR,2026-08-17,08,0852,U,28,NR,7,927.00
VIDEO-000053,ENHOGAR,2026-08-18,09,0953,U,35,F,2,1064.00
VIDEO-000054,ENHOGAR,2026-08-19,10,1054,R,42,M,5,1201.00
VIDEO-000055,ENHOGAR,2026-08-20,11,1155,U,49,X,8,1338.00
VIDEO-000056,ENHOGAR,2026-08-01,12,1256,U,56,NR,3,1475.00
VIDEO-000057,ENHOGAR,2026-08-02,13,1357,R,63,F,6,1612.00
VIDEO-000058,ENHOGAR,2026-08-03,14,1458,U,70,M,1,1749.00
VIDEO-000059,ENHOGAR,2026-08-04,15,1559,U,77,X,4,1886.00
VIDEO-000060,ENHOGAR,2026-08-05,16,1660,R,84,NR,7,2023.00
VIDEO-000061,ENHOGAR,2026-08-06,17,1761,U,18,F,2,2160.00
VIDEO-000062,ENHOGAR,2026-08-07,18,1862,U,25,M,5,2297.00
VIDEO-000063,ENHOGAR,2026-08-08,19,1963,R,32,X,8,2434.00
VIDEO-000064,ENHOGAR,2026-08-09,20,2064,U,39,NR,3,2571.00
VIDEO-000065,ENHOGAR,2026-08-10,21,2165,U,46,F,6,2708.00
VIDEO-000066,ENHOGAR,2026-08-11,22,2266,R,53,M,1,2845.00
VIDEO-000067,ENHOGAR,2026-08-12,01,0167,U,60,X,4,2982.00
VIDEO-000068,ENHOGAR,2026-08-13,02,0268,U,67,NR,7,3119.00
VIDEO-000069,ENHOGAR,2026-08-14,03,0369,R,74,F,2,3256.00
VIDEO-000070,ENHOGAR,2026-08-15,04,0470,U,81,M,5,3393.00
VIDEO-000071,ENHOGAR,2026-08-16,05,0571,U,88,X,8,3530.00
VIDEO-000072,ENHOGAR,2026-08-17,06,0672,R,22,NR,3,3667.00
VIDEO-000073,ENHOGAR,2026-08-18,07,0773,U,29,F,6,3804.00
VIDEO-000074,ENHOGAR,2026-08-19,08,0874,U,36,M,1,3941.00
VIDEO-000075,ENHOGAR,2026-08-20,09,0975,R,43,X,4,4078.00
VIDEO-000076,ENHOGAR,2026-08-01,10,1076,U,50,NR,7,4215.00
VIDEO-000077,ENHOGAR,2026-08-02,11,1177,U,57,F,2,4352.00
VIDEO-000078,ENHOGAR,2026-08-03,12,1278,R,64,M,5,4489.00
VIDEO-000079,ENHOGAR,2026-08-04,13,1379,U,71,X,8,4626.00
VIDEO-000080,ENHOGAR,2026-08-05,14,1480,U,78,NR,3,4763.00
VIDEO-000081,ENHOGAR,2026-08-06,15,1581,R,85,F,6,4900.00
VIDEO-000082,ENHOGAR,2026-08-07,16,1682,U,19,M,1,5037.00
VIDEO-000083,ENHOGAR,2026-08-08,17,1783,U,26,X,4,5174.00
VIDEO-000084,ENHOGAR,2026-08-09,18,1884,R,33,NR,7,5311.00
VIDEO-000085,ENHOGAR,2026-08-10,19,1985,U,40,F,2,5448.00
VIDEO-000086,ENHOGAR,2026-08-11,20,2086,U,47,M,5,5585.00
VIDEO-000087,ENHOGAR,2026-08-12,21,2187,R,54,X,8,5722.00
VIDEO-000088,ENHOGAR,2026-08-13,22,2288,U,61,NR,3,5859.00
VIDEO-000089,ENHOGAR,2026-08-14,01,0189,U,68,F,6,5996.00
VIDEO-000090,ENHOGAR,2026-08-15,02,0290,R,75,M,1,6133.00
VIDEO-000091,ENHOGAR,2026-08-16,03,0391,U,82,X,4,6270.00
VIDEO-000092,ENHOGAR,2026-08-17,04,0492,U,89,NR,7,6407.00
VIDEO-000093,ENHOGAR,2026-08-18,05,0593,R,23,F,2,6544.00
VIDEO-000094,ENHOGAR,2026-08-19,06,0694,U,30,M,5,6681.00
VIDEO-000095,ENHOGAR,2026-08-20,07,0795,U,37,X,8,6818.00
VIDEO-000096,ENHOGAR,2026-08-01,08,0896,R,44,NR,3,6955.00
VIDEO-000097,ENHOGAR,2026-08-02,09,0997,U,51,F,6,7092.00
VIDEO-000098,ENHOGAR,2026-08-03,10,1098,U,58,M,1,7229.00
VIDEO-000099,ENHOGAR,2026-08-04,11,1199,R,65,X,4,7366.00
VIDEO-000100,ENHOGAR,2026-08-05,12,1201,U,72,NR,7,7503.00
VIDEO-000101,ENHOGAR,2026-08-06,13,1302,U,79,F,2,7640.00
VIDEO-000102,ENHOGAR,2026-08-07,14,1403,R,86,M,5,7777.00
VIDEO-000103,ENHOGAR,2026-08-08,15,1504,U,20,X,8,7914.00
VIDEO-000104,ENHOGAR,2026-08-09,16,1605,U,27,NR,3,8051.00
VIDEO-000105,ENHOGAR,2026-08-10,17,1706,R,34,F,6,8188.00
VIDEO-000106,ENHOGAR,2026-08-11,18,1807,U,41,M,1,8325.00
VIDEO-000107,ENHOGAR,2026-08-12,19,1908,U,48,X,4,8462.00
VIDEO-000108,ENHOGAR,2026-08-13,20,2009,R,55,NR,7,999.00
VIDEO-000109,ENHOGAR,2026-08-14,21,2110,U,62,F,2,1136.00
VIDEO-000110,ENHOGAR,2026-08-15,22,2211,U,69,M,5,1273.00
VIDEO-000111,ENHOGAR,2026-08-16,01,0112,R,76,X,8,1410.00
VIDEO-000112,ENHOGAR,2026-08-17,02,0213,U,83,NR,3,1547.00
VIDEO-000113,ENHOGAR,2026-08-18,03,0314,U,90,F,6,1684.00
VIDEO-000114,ENHOGAR,2026-08-19,04,0415,R,24,M,1,1821.00
VIDEO-000115,ENHOGAR,2026-08-20,05,0516,U,31,X,4,1958.00
VIDEO-000116,ENHOGAR,2026-08-01,06,0617,U,38,NR,7,2095.00
VIDEO-000117,ENHOGAR,2026-08-02,07,0718,R,45,F,2,2232.00
VIDEO-000118,ENHOGAR,2026-08-03,08,0819,U,52,M,5,2369.00
VIDEO-000119,ENHOGAR,2026-08-04,09,0920,U,59,X,8,2506.00
VIDEO-000120,ENHOGAR,2026-08-05,10,1021,R,66,NR,3,2643.00
VIDEO-000121,ENHOGAR,2026-08-06,11,1122,U,73,F,6,2780.00
VIDEO-000122,ENHOGAR,2026-08-07,12,1223,U,80,M,1,2917.00
VIDEO-000123,ENHOGAR,2026-08-08,13,1324,R,87,X,4,3054.00
VIDEO-000124,ENHOGAR,2026-08-09,14,1425,U,21,NR,7,3191.00
VIDEO-000125,ENHOGAR,2026-08-10,15,1526,U,28,F,2,3328.00
VIDEO-000126,ENHOGAR,2026-08-11,16,1627,R,35,M,5,3465.00
VIDEO-000127,ENHOGAR,2026-08-12,17,1728,U,42,X,8,3602.00
VIDEO-000128,ENHOGAR,2026-08-13,18,1829,U,49,NR,3,3739.00
VIDEO-000129,ENHOGAR,2026-08-14,19,1930,R,56,F,6,3876.00
VIDEO-000130,ENHOGAR,2026-08-15,20,2031,U,63,M,1,4013.00
VIDEO-000131,ENHOGAR,2026-08-16,21,2132,U,70,X,4,4150.00
VIDEO-000132,ENHOGAR,2026-08-17,22,2233,R,77,NR,7,4287.00
VIDEO-000133,ENHOGAR,2026-08-18,01,0134,U,84,F,2,4424.00
VIDEO-000134,ENHOGAR,2026-08-19,02,0235,U,18,M,5,4561.00
VIDEO-000135,ENHOGAR,2026-08-20,03,0336,R,25,X,8,4698.00
VIDEO-000136,ENHOGAR,2026-08-01,04,0437,U,32,NR,3,4835.00
VIDEO-000137,ENHOGAR,2026-08-02,05,0538,U,39,F,6,4972.00
VIDEO-000138,ENHOGAR,2026-08-03,06,0639,R,46,M,1,5109.00
VIDEO-000139,ENHOGAR,2026-08-04,07,0740,U,53,X,4,5246.00
VIDEO-000140,ENHOGAR,2026-08-05,08,0841,U,60,NR,7,5383.00
VIDEO-000141,ENHOGAR,2026-08-06,09,0942,R,67,F,2,5520.00
VIDEO-000142,ENHOGAR,2026-08-07,10,1043,U,74,M,5,5657.00
VIDEO-000143,ENHOGAR,2026-08-08,11,1144,U,81,X,8,5794.00
VIDEO-000144,ENHOGAR,2026-08-09,12,1245,R,88,NR,3,5931.00
VIDEO-000145,ENHOGAR,2026-08-10,13,1346,U,22,F,6,6068.00
VIDEO-000146,ENHOGAR,2026-08-11,14,1447,U,29,M,1,6205.00
VIDEO-000147,ENHOGAR,2026-08-12,15,1548,R,36,X,4,6342.00
VIDEO-000148,ENHOGAR,2026-08-13,16,1649,U,43,NR,7,6479.00
VIDEO-000149,ENHOGAR,2026-08-14,17,1750,U,50,F,2,6616.00
VIDEO-000150,ENHOGAR,2026-08-15,18,1851,R,57,M,5,6753.00
VIDEO-000151,ENHOGAR,2026-08-16,19,1952,U,64,X,8,6890.00
VIDEO-000152,ENHOGAR,2026-08-17,20,2053,U,71,NR,3,7027.00
VIDEO-000153,ENHOGAR,2026-08-18,21,2154,R,78,F,6,7164.00
VIDEO-000154,ENHOGAR,2026-08-19,22,2255,U,85,M,1,7301.00
VIDEO-000155,ENHOGAR,2026-08-20,01,0156,U,19,X,4,7438.00
VIDEO-000156,ENHOGAR,2026-08-01,02,0257,R,26,NR,7,7575.00
VIDEO-000157,ENHOGAR,2026-08-02,03,0358,U,33,F,2,7712.00
VIDEO-000158,ENHOGAR,2026-08-03,04,0459,U,40,M,5,7849.00
VIDEO-000159,ENHOGAR,2026-08-04,05,0560,R,47,X,8,7986.00
VIDEO-000160,ENHOGAR,2026-08-05,06,0661,U,54,NR,3,8123.00
VIDEO-000161,ENHOGAR,2026-08-06,07,0762,U,61,F,6,8260.00
VIDEO-000162,ENHOGAR,2026-08-07,08,0863,R,68,M,1,8397.00
VIDEO-000163,ENHOGAR,2026-08-08,09,0964,U,75,X,4,934.00
VIDEO-000164,ENHOGAR,2026-08-09,10,1065,U,82,NR,7,1071.00
VIDEO-000165,ENHOGAR,2026-08-10,11,1166,R,89,F,2,1208.00
VIDEO-000166,ENHOGAR,2026-08-11,12,1267,U,23,M,5,1345.00
VIDEO-000167,ENHOGAR,2026-08-12,13,1368,U,30,X,8,1482.00
VIDEO-000168,ENHOGAR,2026-08-13,14,1469,R,37,NR,3,1619.00
VIDEO-000169,ENHOGAR,2026-08-14,15,1570,U,44,F,6,1756.00
VIDEO-000170,ENHOGAR,2026-08-15,16,1671,U,51,M,1,1893.00
VIDEO-000171,ENHOGAR,2026-08-16,17,1772,R,58,X,4,2030.00
VIDEO-000172,ENHOGAR,2026-08-17,18,1873,U,65,NR,7,2167.00
VIDEO-000173,ENHOGAR,2026-08-18,19,1974,U,72,F,2,2304.00
VIDEO-000174,ENHOGAR,2026-08-19,20,2075,R,79,M,5,2441.00
VIDEO-000175,ENHOGAR,2026-08-20,21,2176,U,86,X,8,2578.00
VIDEO-000176,ENHOGAR,2026-08-01,22,2277,U,20,NR,3,2715.00
VIDEO-000177,ENHOGAR,2026-08-02,01,0178,R,27,F,6,2852.00
VIDEO-000178,ENHOGAR,2026-08-03,02,0279,U,34,M,1,2989.00
VIDEO-000179,ENHOGAR,2026-08-04,03,0380,U,41,X,4,3126.00
VIDEO-000180,ENHOGAR,2026-08-05,04,0481,R,48,NR,7,3263.00
VIDEO-000181,ENHOGAR,2026-08-06,05,0582,U,55,F,2,3400.00
VIDEO-000182,ENHOGAR,2026-08-07,06,0683,U,62,M,5,3537.00
VIDEO-000183,ENHOGAR,2026-08-08,07,0784,R,69,X,8,3674.00
VIDEO-000184,ENHOGAR,2026-08-09,08,0885,U,76,NR,3,3811.00
VIDEO-000185,ENHOGAR,2026-08-10,09,0986,U,83,F,6,3948.00
VIDEO-000186,ENHOGAR,2026-08-11,10,1087,R,90,M,1,4085.00
VIDEO-000187,ENHOGAR,2026-08-12,11,1188,U,24,X,4,4222.00
VIDEO-000188,ENHOGAR,2026-08-13,12,1289,U,31,NR,7,4359.00
VIDEO-000189,ENHOGAR,2026-08-14,13,1390,R,38,F,2,4496.00
VIDEO-000190,ENHOGAR,2026-08-15,14,1491,U,45,M,5,4633.00
VIDEO-000191,ENHOGAR,2026-08-16,15,1592,U,52,X,8,4770.00
VIDEO-000192,ENHOGAR,2026-08-17,16,1693,R,59,NR,3,4907.00
VIDEO-000193,ENHOGAR,2026-08-18,17,1794,U,66,F,6,5044.00
VIDEO-000194,ENHOGAR,2026-08-19,18,1895,U,73,M,1,5181.00
VIDEO-000195,ENHOGAR,2026-08-20,19,1996,R,80,X,4,5318.00
VIDEO-000196,ENHOGAR,2026-08-01,20,2097,U,87,NR,7,5455.00
VIDEO-000197,ENHOGAR,2026-08-02,21,2198,U,21,F,2,5592.00
VIDEO-000198,ENHOGAR,2026-08-03,22,2299,R,28,M,5,5729.00
VIDEO-000199,ENHOGAR,2026-08-04,01,0101,U,35,X,8,5866.00
VIDEO-000200,ENHOGAR,2026-08-05,02,0202,U,42,NR,3,6003.00
VIDEO-000201,ENHOGAR,2026-08-06,03,0303,R,49,F,6,6140.00
VIDEO-000202,ENHOGAR,2026-08-07,04,0404,U,56,M,1,6277.00
VIDEO-000203,ENHOGAR,2026-08-08,05,0505,U,63,X,4,6414.00
VIDEO-000204,ENHOGAR,2026-08-09,06,0606,R,70,NR,7,6551.00
VIDEO-000205,ENHOGAR,2026-08-10,07,0707,U,77,F,2,6688.00
VIDEO-000206,ENHOGAR,2026-08-11,08,0808,U,84,M,5,6825.00
VIDEO-000207,ENHOGAR,2026-08-12,09,0909,R,18,X,8,6962.00
VIDEO-000208,ENHOGAR,2026-08-13,10,1010,U,25,NR,3,7099.00
VIDEO-000209,ENHOGAR,2026-08-14,11,1111,U,32,F,6,7236.00
VIDEO-000210,ENHOGAR,2026-08-15,12,1212,R,39,M,1,7373.00
VIDEO-000211,ENHOGAR,2026-08-16,13,1313,U,46,X,4,7510.00
VIDEO-000212,ENHOGAR,2026-08-17,14,1414,U,53,NR,7,7647.00
VIDEO-000213,ENHOGAR,2026-08-18,15,1515,R,60,F,2,7784.00
VIDEO-000214,ENHOGAR,2026-08-19,16,1616,U,67,M,5,7921.00
VIDEO-000215,ENHOGAR,2026-08-20,17,1717,U,74,X,8,8058.00
VIDEO-000216,ENHOGAR,2026-08-01,18,1818,R,81,NR,3,8195.00
VIDEO-000217,ENHOGAR,2026-08-02,19,1919,U,88,F,6,8332.00
VIDEO-000218,ENHOGAR,2026-08-03,20,2020,U,22,M,1,8469.00
VIDEO-000219,ENHOGAR,2026-08-04,21,2121,R,29,X,4,1006.00
VIDEO-000220,ENHOGAR,2026-08-05,22,2222,U,36,NR,7,1143.00
VIDEO-000221,ENHOGAR,2026-08-06,01,0123,U,43,F,2,1280.00
VIDEO-000222,ENHOGAR,2026-08-07,02,0224,R,50,M,5,1417.00
VIDEO-000223,ENHOGAR,2026-08-08,03,0325,U,57,X,8,1554.00
VIDEO-000224,ENHOGAR,2026-08-09,04,0426,U,64,NR,3,1691.00
VIDEO-000225,ENHOGAR,2026-08-10,05,0527,R,71,F,6,1828.00
VIDEO-000226,ENHOGAR,2026-08-11,06,0628,U,78,M,1,1965.00
VIDEO-000227,ENHOGAR,2026-08-12,07,0729,U,85,X,4,2102.00
VIDEO-000228,ENHOGAR,2026-08-13,08,0830,R,19,NR,7,2239.00
VIDEO-000229,ENHOGAR,2026-08-14,09,0931,U,26,F,2,2376.00
VIDEO-000230,ENHOGAR,2026-08-15,10,1032,U,33,M,5,2513.00
VIDEO-000231,ENHOGAR,2026-08-16,11,1133,R,40,X,8,2650.00
VIDEO-000232,ENHOGAR,2026-08-17,12,1234,U,47,NR,3,2787.00
VIDEO-000233,ENHOGAR,2026-08-18,13,1335,U,54,F,6,2924.00
VIDEO-000234,ENHOGAR,2026-08-19,14,1436,R,61,M,1,3061.00
VIDEO-000235,ENHOGAR,2026-08-20,15,1537,U,68,X,4,3198.00
VIDEO-000236,ENHOGAR,2026-08-01,16,1638,U,75,NR,7,3335.00
VIDEO-000237,ENHOGAR,2026-08-02,17,1739,R,82,F,2,3472.00
VIDEO-000238,ENHOGAR,2026-08-03,18,1840,U,89,M,5,3609.00
VIDEO-000239,ENHOGAR,2026-08-04,19,1941,U,23,X,8,3746.00
VIDEO-000240,ENHOGAR,2026-08-05,20,2042,R,30,NR,3,3883.00
VIDEO-000241,ENHOGAR,2026-08-06,21,2143,U,37,F,6,4020.00
VIDEO-000242,ENHOGAR,2026-08-07,22,2244,U,44,M,1,4157.00
VIDEO-000243,ENHOGAR,2026-08-08,01,0145,R,51,X,4,4294.00
VIDEO-000244,ENHOGAR,2026-08-09,02,0246,U,58,NR,7,4431.00
VIDEO-000245,ENHOGAR,2026-08-10,03,0347,U,65,F,2,4568.00
VIDEO-000246,ENHOGAR,2026-08-11,04,0448,R,72,M,5,4705.00
VIDEO-000247,ENHOGAR,2026-08-12,05,0549,U,79,X,8,4842.00
VIDEO-000248,ENHOGAR,2026-08-13,06,0650,U,86,NR,3,4979.00
VIDEO-000249,ENHOGAR,2026-08-14,07,0751,R,20,F,6,5116.00
VIDEO-000250,ENHOGAR,2026-08-15,08,0852,U,27,M,1,5253.00
VIDEO-000251,ENHOGAR,2026-08-16,09,0953,U,34,X,4,5390.00
VIDEO-000252,ENHOGAR,2026-08-17,10,1054,R,41,NR,7,5527.00
VIDEO-000253,ENHOGAR,2026-08-18,11,1155,U,48,F,2,5664.00
VIDEO-000254,ENHOGAR,2026-08-19,12,1256,U,55,M,5,5801.00
VIDEO-000255,ENHOGAR,2026-08-20,13,1357,R,62,X,8,5938.00
VIDEO-000256,ENHOGAR,2026-08-01,14,1458,U,69,NR,3,6075.00
VIDEO-000257,ENHOGAR,2026-08-02,15,1559,U,76,F,6,6212.00
VIDEO-000258,ENHOGAR,2026-08-03,16,1660,R,83,M,1,6349.00
VIDEO-000259,ENHOGAR,2026-08-04,17,1761,U,90,X,4,6486.00
VIDEO-000260,ENHOGAR,2026-08-05,18,1862,U,24,NR,7,6623.00
VIDEO-000261,ENHOGAR,2026-08-06,19,1963,R,31,F,2,6760.00
VIDEO-000262,ENHOGAR,2026-08-07,20,2064,U,38,M,5,6897.00
VIDEO-000263,ENHOGAR,2026-08-08,21,2165,U,45,X,8,7034.00
VIDEO-000264,ENHOGAR,2026-08-09,22,2266,R,52,NR,3,7171.00
VIDEO-000265,ENHOGAR,2026-08-10,01,0167,U,59,F,6,7308.00
VIDEO-000266,ENHOGAR,2026-08-11,02,0268,U,66,M,1,7445.00
VIDEO-000267,ENHOGAR,2026-08-12,03,0369,R,73,X,4,7582.00
VIDEO-000268,ENHOGAR,2026-08-13,04,0470,U,80,NR,7,7719.00
VIDEO-000269,ENHOGAR,2026-08-14,05,0571,U,87,F,2,7856.00
VIDEO-000270,ENHOGAR,2026-08-15,06,0672,R,21,M,5,7993.00
VIDEO-000271,ENHOGAR,2026-08-16,07,0773,U,28,X,8,8130.00
VIDEO-000272,ENHOGAR,2026-08-17,08,0874,U,35,NR,3,8267.00
VIDEO-000273,ENHOGAR,2026-08-18,09,0975,R,42,F,6,8404.00
VIDEO-000274,ENHOGAR,2026-08-19,10,1076,U,49,M,1,941.00
VIDEO-000275,ENHOGAR,2026-08-20,11,1177,U,56,X,4,1078.00
VIDEO-000276,ENHOGAR,2026-08-01,12,1278,R,63,NR,7,1215.00
VIDEO-000277,ENHOGAR,2026-08-02,13,1379,U,70,F,2,1352.00
VIDEO-000278,ENHOGAR,2026-08-03,14,1480,U,77,M,5,1489.00
VIDEO-000279,ENHOGAR,2026-08-04,15,1581,R,84,X,8,1626.00
VIDEO-000280,ENHOGAR,2026-08-05,16,1682,U,18,NR,3,1763.00
VIDEO-000281,ENHOGAR,2026-08-06,17,1783,U,25,F,6,1900.00
VIDEO-000282,ENHOGAR,2026-08-07,18,1884,R,32,M,1,2037.00
VIDEO-000283,ENHOGAR,2026-08-08,19,1985,U,39,X,4,2174.00
VIDEO-000284,ENHOGAR,2026-08-09,20,2086,U,46,NR,7,2311.00
VIDEO-000285,ENHOGAR,2026-08-10,21,2187,R,53,F,2,2448.00
VIDEO-000286,ENHOGAR,2026-08-11,22,2288,U,60,M,5,2585.00
VIDEO-000287,ENHOGAR,2026-08-12,01,0189,U,67,X,8,2722.00
VIDEO-000288,ENHOGAR,2026-08-13,02,0290,R,74,NR,3,2859.00
VIDEO-000289,ENHOGAR,2026-08-14,03,0391,U,81,F,6,2996.00
VIDEO-000290,ENHOGAR,2026-08-15,04,0492,U,88,M,1,3133.00
VIDEO-000291,ENHOGAR,2026-08-16,05,0593,R,22,X,4,3270.00
VIDEO-000292,ENHOGAR,2026-08-17,06,0694,U,29,NR,7,3407.00
VIDEO-000293,ENHOGAR,2026-08-18,07,0795,U,36,F,2,3544.00
VIDEO-000294,ENHOGAR,2026-08-19,08,0896,R,43,M,5,3681.00
VIDEO-000295,ENHOGAR,2026-08-20,09,0997,U,50,X,8,3818.00
VIDEO-000296,ENHOGAR,2026-08-01,10,1098,U,57,NR,3,3955.00
VIDEO-000297,ENHOGAR,2026-08-02,11,1199,R,64,F,6,4092.00
VIDEO-000298,ENHOGAR,2026-08-03,12,1201,U,71,M,1,4229.00
VIDEO-000299,ENHOGAR,2026-08-04,13,1302,U,78,X,4,4366.00
VIDEO-000300,ENHOGAR,2026-08-05,14,1403,R,85,NR,7,4503.00
VIDEO-000301,ENHOGAR,2026-08-06,15,1504,U,19,F,2,4640.00
VIDEO-000302,ENHOGAR,2026-08-07,16,1605,U,26,M,5,4777.00
VIDEO-000303,ENHOGAR,2026-08-08,17,1706,R,33,X,8,4914.00
VIDEO-000304,ENHOGAR,2026-08-09,18,1807,U,40,NR,3,5051.00
VIDEO-000305,ENHOGAR,2026-08-10,19,1908,U,47,F,6,5188.00
VIDEO-000306,ENHOGAR,2026-08-11,20,2009,R,54,M,1,5325.00
VIDEO-000307,ENHOGAR,2026-08-12,21,2110,U,61,X,4,5462.00
VIDEO-000308,ENHOGAR,2026-08-13,22,2211,U,68,NR,7,5599.00
VIDEO-000309,ENHOGAR,2026-08-14,01,0112,R,75,F,2,5736.00
VIDEO-000310,ENHOGAR,2026-08-15,02,0213,U,82,M,5,5873.00
VIDEO-000311,ENHOGAR,2026-08-16,03,0314,U,89,X,8,6010.00
VIDEO-000312,ENHOGAR,2026-08-17,04,0415,R,23,NR,3,6147.00
VIDEO-000313,ENHOGAR,2026-08-18,05,0516,U,30,F,6,6284.00
VIDEO-000314,ENHOGAR,2026-08-19,06,0617,U,37,M,1,6421.00
VIDEO-000315,ENHOGAR,2026-08-20,07,0718,R,44,X,4,6558.00
VIDEO-000316,ENHOGAR,2026-08-01,08,0819,U,51,NR,7,6695.00
VIDEO-000317,ENHOGAR,2026-08-02,09,0920,U,58,F,2,6832.00
VIDEO-000318,ENHOGAR,2026-08-03,10,1021,R,65,M,5,6969.00
VIDEO-000319,ENHOGAR,2026-08-04,11,1122,U,72,X,8,7106.00
VIDEO-000320,ENHOGAR,2026-08-05,12,1223,U,79,NR,3,7243.00
VIDEO-000321,ENHOGAR,2026-08-06,13,1324,R,86,F,6,7380.00
VIDEO-000322,ENHOGAR,2026-08-07,14,1425,U,20,M,1,7517.00
VIDEO-000323,ENHOGAR,2026-08-08,15,1526,U,27,X,4,7654.00
VIDEO-000324,ENHOGAR,2026-08-09,16,1627,R,34,NR,7,7791.00
VIDEO-000325,ENHOGAR,2026-08-10,17,1728,U,41,F,2,7928.00
VIDEO-000326,ENHOGAR,2026-08-11,18,1829,U,48,M,5,8065.00
VIDEO-000327,ENHOGAR,2026-08-12,19,1930,R,55,X,8,8202.00
VIDEO-000328,ENHOGAR,2026-08-13,20,2031,U,62,NR,3,8339.00
