record_id,survey_code,interview_date,department_code,municipality_code,urban_rural,respondent_age,respondent_sex,household_size,monthly_income_gtq
HOGAR-000037,ENHOGAR,2026-08-09,15,1537,U,58,F,8,5969.00
HOGAR-000038,ENHOGAR,2026-08-10,16,1638,U,65,M,3,6106.00
HOGAR-000039,ENHOGAR,2026-08-11,17,1739,R,72,X,6,6243.00
HOGAR-000040,ENHOGAR,2026-08-12,18,1840,U,79,NR,1,6380.00
HOGAR-000041,ENHOGAR,2026-08-13,19,1941,U,86,F,4,6517.00
HOGAR-000042,ENHOGAR,2026-08-14,20,2042,R,20,M,7,6654.00
HOGAR-000043,ENHOGAR,2026-08-15,21,2143,U,27,X,2,6791.00
HOGAR-000044,ENHOGAR,2026-08-16,22,2244,U,34,NR,5,6928.00
HOGAR-000045,ENHOGAR,2026-08-17,01,0145,R,41,F,8,7065.00
HOGAR-000046,ENHOGAR,2026-08-18,02,0246,U,48,M,3,7202.00
HOGAR-000047,ENHOGAR,2026-08-19,03,0347,U,55,X,6,7339.00
HOGAR-000048,ENHOGAR,2026-08-20,04,0448,R,62,NR,1,7476.00
HOGAR-000049,ENHOGAR,2026-08-21,05,0549,U,69,F,4,7613.00
HOGAR-000050,ENHOGAR,2026-08-22,06,0650,U,76,M,7,7750.00
HOGAR-000051,ENHOGAR,2026-08-23,07,0751,R,83,X,2,7887.00
HOGAR-000052,ENHOGAR,2026-08-24,08,0852,U,90,NR,5,8024.00
HOGAR-000053,ENHOGAR,2026-08-25,09,0953,U,24,F,8,8161.00
HOGAR-000054,ENHOGAR,2026-08-26,10,1054,R,31,M,3,8298.00
HOGAR-000055,ENHOGAR,2026-08-27,11,1155,U,38,X,6,8435.00
HOGAR-000056,ENHOGAR,2026-08-28,12,1256,U,45,NR,1,972.00
HOGAR-000057,ENHOGAR,2026-08-01,13,1357,R,52,F,4,1109.00
HOGAR-000058,ENHOGAR,2026-08-02,14,1458,U,59,M,7,1246.00
HOGAR-000059,ENHOGAR,2026-08-03,15,1559,U,66,X,2,1383.00
HOGAR-000060,ENHOGAR,2026-08-04,16,1660,R,73,NR,5,1520.00
HOGAR-000061,ENHOGAR,2026-08-05,17,1761,U,80,F,8,1657.00
HOGAR-000062,ENHOGAR,2026-08-06,18,1862,U,87,M,3,1794.00
HOGAR-000063,ENHOGAR,2026-08-07,19,1963,R,21,X,6,1931.00
HOGAR-000064,ENHOGAR,2026-08-08,20,2064,U,28,NR,1,2068.00
HOGAR-000065,ENHOGAR,2026-08-09,21,2165,U,35,F,4,2205.00
HOGAR-000066,ENHOGAR,2026-08-10,22,2266,R,42,M,7,2342.00
HOGAR-000067,ENHOGAR,2026-08-11,01,0167,U,49,X,2,2479.00
HOGAR-000068,ENHOGAR,2026-08-12,02,0268,U,56,NR,5,2616.00
HOGAR-000069,ENHOGAR,2026-08-13,03,0369,R,63,F,8,2753.00
HOGAR-000070,ENHOGAR,2026-08-14,04,0470,U,70,M,3,2890.00
HOGAR-000071,ENHOGAR,2026-08-15,05,0571,U,77,X,6,3027.00
HOGAR-000072,ENHOGAR,2026-08-16,06,0672,R,84,NR,1,3164.00
HOGAR-000073,ENHOGAR,2026-08-17,07,0773,U,18,F,4,3301.00
HOGAR-000074,ENHOGAR,2026-08-18,08,0874,U,25,M,7,3438.00
HOGAR-000075,ENHOGAR,2026-08-19,09,0975,R,32,X,2,3575.00
HOGAR-000076,ENHOGAR,2026-08-20,10,1076,U,39,NR,5,3712.00
HOGAR-000077,ENHOGAR,2026-08-21,11,1177,U,46,F,8,3849.00
HOGAR-000078,ENHOGAR,2026-08-22,12,1278,R,53,M,3,3986.00
HOGAR-000079,ENHOGAR,2026-08-23,13,1379,U,60,X,6,4123.00
HOGAR-000080,ENHOGAR,2026-08-24,14,1480,U,67,NR,1,4260.00
HOGAR-000081,ENHOGAR,2026-08-25,15,1581,R,74,F,4,4397.00
HOGAR-000082,ENHOGAR,2026-08-26,16,1682,U,81,M,7,4534.00
HOGAR-000083,ENHOGAR,2026-08-27,17,1783,U,88,X,2,4671.00
HOGAR-000084,ENHOGAR,2026-08-28,18,1884,R,22,NR,5,4808.00
HOGAR-000085,ENHOGAR,2026-08-01,19,1985,U,29,F,8,4945.00
HOGAR-000086,ENHOGAR,2026-08-02,20,2086,U,36,M,3,5082.00
HOGAR-000087,ENHOGAR,2026-08-03,21,2187,R,43,X,6,5219.00
HOGAR-000088,ENHOGAR,2026-08-04,22,2288,U,50,NR,1,5356.00
HOGAR-000089,ENHOGAR,2026-08-05,01,0189,U,57,F,4,5493.00
HOGAR-000090,ENHOGAR,2026-08-06,02,0290,R,64,M,7,5630.00
HOGAR-000091,ENHOGAR,2026-08-07,03,0391,U,71,X,2,5767.00
HOGAR-000092,ENHOGAR,2026-08-08,04,0492,U,78,NR,5,5904.00
HOGAR-000093,ENHOGAR,2026-08-09,05,0593,R,85,F,8,6041.00
HOGAR-000094,ENHOGAR,2026-08-10,06,0694,U,19,M,3,6178.00
HOGAR-000095,ENHOGAR,2026-08-11,07,0795,U,26,X,6,6315.00
HOGAR-000096,ENHOGAR,2026-08-12,08,0896,R,33,NR,1,6452.00
HOGAR-000097,ENHOGAR,2026-08-13,09,0997,U,40,F,4,6589.00
HOGAR-000098,ENHOGAR,2026-08-14,10,1098,U,47,M,7,6726.00
HOGAR-000099,ENHOGAR,2026-08-15,11,1199,R,54,X,2,6863.00
HOGAR-000100,ENHOGAR,2026-08-16,12,1201,U,61,NR,5,7000.00
HOGAR-000101,ENHOGAR,2026-08-17,13,1302,U,68,F,8,7137.00
HOGAR-000102,ENHOGAR,2026-08-18,14,1403,R,75,M,3,7274.00
HOGAR-000103,ENHOGAR,2026-08-19,15,1504,U,82,X,6,7411.00
HOGAR-000104,ENHOGAR,2026-08-20,16,1605,U,89,NR,1,7548.00
HOGAR-000105,ENHOGAR,2026-08-21,17,1706,R,23,F,4,7685.00
HOGAR-000106,ENHOGAR,2026-08-22,18,1807,U,30,M,7,7822.00
HOGAR-000107,ENHOGAR,2026-08-23,19,1908,U,37,X,2,7959.00
HOGAR-000108,ENHOGAR,2026-08-24,20,2009,R,44,NR,5,8096.00
HOGAR-000109,ENHOGAR,2026-08-25,21,2110,U,51,F,8,8233.00
HOGAR-000110,ENHOGAR,2026-08-26,22,2211,U,58,M,3,8370.00
HOGAR-000111,ENHOGAR,2026-08-27,01,0112,R,65,X,6,907.00
HOGAR-000112,ENHOGAR,2026-08-28,02,0213,U,72,NR,1,1044.00
HOGAR-000113,ENHOGAR,2026-08-01,03,0314,U,79,F,4,1181.00
HOGAR-000114,ENHOGAR,2026-08-02,04,0415,R,86,M,7,1318.00
HOGAR-000115,ENHOGAR,2026-08-03,05,0516,U,20,X,2,1455.00
HOGAR-000116,ENHOGAR,2026-08-04,06,0617,U,27,NR,5,1592.00
HOGAR-000117,ENHOGAR,2026-08-05,07,0718,R,34,F,8,1729.00
HOGAR-000118,ENHOGAR,2026-08-06,08,0819,U,41,M,3,1866.00
HOGAR-000119,ENHOGAR,2026-08-07,09,0920,U,48,X,6,2003.00
HOGAR-000120,ENHOGAR,2026-08-08,10,1021,R,55,NR,1,2140.00
HOGAR-000121,ENHOGAR,2026-08-09,11,1122,U,62,F,4,2277.00
HOGAR-000122,ENHOGAR,2026-08-10,12,1223,U,69,M,7,2414.00
HOGAR-000123,ENHOGAR,2026-08-11,13,1324,R,76,X,2,2551.00
HOGAR-000124,ENHOGAR,2026-08-12,14,1425,U,83,NR,5,2688.00
HOGAR-000125,ENHOGAR,2026-08-13,15,1526,U,90,F,8,2825.00
HOGAR-000126,ENHOGAR,2026-08-14,16,1627,R,24,M,3,2962.00
HOGAR-000127,ENHOGAR,2026-08-15,17,1728,U,31,X,6,3099.00
HOGAR-000128,ENHOGAR,2026-08-16,18,1829,U,38,NR,1,3236.00
HOGAR-000129,ENHOGAR,2026-08-17,19,1930,R,45,F,4,3373.00
HOGAR-000130,ENHOGAR,2026-08-18,20,2031,U,52,M,7,3510.00
HOGAR-000131,ENHOGAR,2026-08-19,21,2132,U,59,X,2,3647.00
HOGAR-000132,ENHOGAR,2026-08-20,22,2233,R,66,NR,5,3784.00
HOGAR-000133,ENHOGAR,2026-08-21,01,0134,U,73,F,8,3921.00
HOGAR-000134,ENHOGAR,2026-08-22,02,0235,U,80,M,3,4058.00
HOGAR-000135,ENHOGAR,2026-08-23,03,0336,R,87,X,6,4195.00
HOGAR-000136,ENHOGAR,2026-08-24,04,0437,U,21,NR,1,4332.00
HOGAR-000137,ENHOGAR,2026-08-25,05,0538,U,28,F,4,4469.00
HOGAR-000138,ENHOGAR,2026-08-26,06,0639,R,35,M,7,4606.00
HOGAR-000139,ENHOGAR,2026-08-27,07,0740,U,42,X,2,4743.00
HOGAR-000140,ENHOGAR,2026-08-28,08,0841,U,49,NR,5,4880.00
HOGAR-000141,ENHOGAR,2026-08-01,09,0942,R,56,F,8,5017.00
HOGAR-000142,ENHOGAR,2026-08-02,10,1043,U,63,M,3,5154.00
HOGAR-000143,ENHOGAR,2026-08-03,11,1144,U,70,X,6,5291.00
HOGAR-000144,ENHOGAR,2026-08-04,12,1245,R,77,NR,1,5428.00
HOGAR-000145,ENHOGAR,2026-08-05,13,1346,U,84,F,4,5565.00
HOGAR-000146,ENHOGAR,2026-08-06,14,1447,U,18,M,7,5702.00
HOGAR-000147,ENHOGAR,2026-08-07,15,1548,R,25,X,2,5839.00
HOGAR-000148,ENHOGAR,2026-08-08,16,1649,U,32,NR,5,5976.00
HOGAR-000149,ENHOGAR,2026-08-09,17,1750,U,39,F,8,6113.00
HOGAR-000150,ENHOGAR,2026-08-10,18,1851,R,46,M,3,6250.00
HOGAR-000151,ENHOGAR,2026-08-11,19,1952,U,53,X,6,6387.00
HOGAR-000152,ENHOGAR,2026-08-12,20,2053,U,60,NR,1,6524.00
HOGAR-000153,ENHOGAR,2026-08-13,21,2154,R,67,F,4,6661.00
HOGAR-000154,ENHOGAR,2026-08-14,22,2255,U,74,M,7,6798.00
HOGAR-000155,ENHOGAR,2026-08-15,01,0156,U,81,X,2,6935.00
HOGAR-000156,ENHOGAR,2026-08-16,02,0257,R,88,NR,5,7072.00
HOGAR-000157,ENHOGAR,2026-08-17,03,0358,U,22,F,8, 7209.00 
HOGAR-000158,ENHOGAR,2026-08-18,04,0459,U,29,M,3,7346.00
HOGAR-000159,ENHOGAR,2026-08-19,05,0560,R,36,X,6,7483.00
HOGAR-000160,ENHOGAR,2026-08-20,06,0661,U,43,NR,1,7620.00
HOGAR-000161,ENHOGAR,2026-08-21,07,0762,U,50,F,4,7757.00
HOGAR-000162,ENHOGAR,2026-08-22,08,0863,R,57,M,7,7894.00
HOGAR-000163,ENHOGAR,2026-08-23,09,0964,U,64,X,2,8031.00
HOGAR-000164,ENHOGAR,2026-08-24,10,1065,U,71,NR,5,8168.00
HOGAR-000165,ENHOGAR,2026-08-25,11,1166,R,78,F,8,8305.00
HOGAR-000166,ENHOGAR,2026-08-26,12,1267,U,85,M,3,8442.00
HOGAR-000167,ENHOGAR,2026-08-27,13,1368,U,19,X,6,979.00
HOGAR-000168,ENHOGAR,2026-08-28,14,1469,R,26,NR,1,1116.00
HOGAR-000169,ENHOGAR,2026-08-01,15,1570,U,33,F,4,1253.00
HOGAR-000170,ENHOGAR,2026-08-02,16,1671,U,40,M,7,1390.00
HOGAR-000171,ENHOGAR,2026-08-03,17,1772,R,47,X,2,1527.00
HOGAR-000172,ENHOGAR,2026-08-04,18,1873,U,54,NR,5,1664.00
HOGAR-000173,ENHOGAR,2026-08-05,19,1974,U,61,F,8,1801.00
HOGAR-000174,ENHOGAR,2026-08-06,20,2075,R,68,M,3,1938.00
HOGAR-000175,ENHOGAR,2026-08-07,21,2176,U,75,X,6,2075.00
HOGAR-000176,ENHOGAR,2026-08-08,22,2277,U,82,NR,1,2212.00
HOGAR-000177,ENHOGAR,2026-08-09,01,0178,R,89,F,4,2349.00
HOGAR-000178,ENHOGAR,2026-08-10,02,0279,U,23,M,7,2486.00
HOGAR-000179,ENHOGAR,2026-08-11,03,0380,U,30,X,2,2623.00
HOGAR-000180,ENHOGAR,2026-08-12,04,0481,R,37,NR,5,2760.00
HOGAR-000181,ENHOGAR,2026-08-13,05,0582,U,44,F,8,2897.00
HOGAR-000182,ENHOGAR,2026-08-14,06,0683,U,51,M,3,3034.00
HOGAR-000183,ENHOGAR,2026-08-15,07,0784,R,58,X,6,3171.00
HOGAR-000184,ENHOGAR,2026-08-16,08,0885,U,65,NR,1,3308.00
HOGAR-000185,ENHOGAR,2026-08-17,09,0986,U,72,F,4,3445.00
HOGAR-000186,ENHOGAR,2026-08-18,10,1087,R,79,M,7,3582.00
HOGAR-000187,ENHOGAR,2026-08-19,11,1188,U,86,X,2,3719.00
HOGAR-000188,ENHOGAR,2026-08-20,12,1289,U,20,NR,5,3856.00
HOGAR-000189,ENHOGAR,2026-08-21,13,1390,R,27,F,8,3993.00
HOGAR-000190,ENHOGAR,2026-08-22,14,1491,U,34,M,3,4130.00
HOGAR-000191,ENHOGAR,2026-08-23,15,1592,U,41,X,6,4267.00
HOGAR-000192,ENHOGAR,2026-08-24,16,1693,R,48,NR,1,4404.00
HOGAR-000193,ENHOGAR,2026-08-25,17,1794,U,55,F,4,4541.00
HOGAR-000194,ENHOGAR,2026-08-26,18,1895,U,62,M,7,4678.00
HOGAR-000195,ENHOGAR,2026-08-27,19,1996,R,69,X,2,4815.00
HOGAR-000196,ENHOGAR,2026-08-28,20,2097,U,76,NR,5,4952.00
HOGAR-000197,ENHOGAR,2026-08-01,21,2198,U,83,F,8,5089.00
HOGAR-000198,ENHOGAR,2026-08-02,22,2299,R,90,M,3,5226.00
HOGAR-000199,ENHOGAR,2026-08-03,01,0101,U,24,X,6,5363.00
HOGAR-000200,ENHOGAR,2026-08-04,02,0202,U,31,NR,1,5500.00
HOGAR-000201,ENHOGAR,2026-08-05,03,0303,R,38,F,4,5637.00
HOGAR-000202,ENHOGAR,2026-08-06,04,0404,U,45,M,7,5774.00
HOGAR-000203,ENHOGAR,2026-08-07,05,0505,U,52,X,2,5911.00
HOGAR-000204,ENHOGAR,2026-08-08,06,0606,R,59,NR,5,6048.00
HOGAR-000205,ENHOGAR,2026-08-09,07,0707,U,66,F,8,6185.00
HOGAR-000206,ENHOGAR,2026-08-10,08,0808,U,73,M,3,6322.00
HOGAR-000207,ENHOGAR,2026-08-11,09,0909,R,80,X,6,6459.00
HOGAR-000208,ENHOGAR,2026-08-12,10,1010,U,87,NR,1,6596.00
HOGAR-000209,ENHOGAR,2026-08-13,11,1111,U,21,F,4,6733.00
HOGAR-000210,ENHOGAR,2026-08-14,12,1212,R,28,M,7,6870.00
HOGAR-000211,ENHOGAR,2026-08-15,13,1313,U,35,X,2,7007.00
HOGAR-000212,ENHOGAR,2026-08-16,14,1414,U,42,NR,5,7144.00
HOGAR-000213,ENHOGAR,2026-08-17,15,1515,R,49,F,8,7281.00
HOGAR-000214,ENHOGAR,2026-08-18,16,1616,U,56,M,3,7418.00
HOGAR-000215,ENHOGAR,2026-08-19,17,1717,U,63,X,6,7555.00
HOGAR-000216,ENHOGAR,2026-08-20,18,1818,R,70,NR,1,7692.00
HOGAR-000217,ENHOGAR,2026-08-21,19,1919,U,77,F,4,7829.00
HOGAR-000218,ENHOGAR,2026-08-22,20,2020,U,84,M,7,7966.00
HOGAR-000219,ENHOGAR,2026-08-23,21,2121,R,18,X,2,8103.00
HOGAR-000220,ENHOGAR,2026-08-24,22,2222,U,25,NR,5,8240.00
HOGAR-000221,ENHOGAR,2026-08-25,01,0123,U,32,F,8,8377.00
HOGAR-000222,ENHOGAR,2026-08-26,02,0224,R,39,M,3,914.00
HOGAR-000223,ENHOGAR,2026-08-27,03,0325,U,46,X,6,1051.00
HOGAR-000224,ENHOGAR,2026-08-28,04,0426,U,53,NR,1,1188.00
HOGAR-000225,ENHOGAR,2026-08-01,05,0527,R,60,F,4,1325.00
HOGAR-000226,ENHOGAR,2026-08-02,06,0628,U,67,M,7,1462.00
HOGAR-000227,ENHOGAR,2026-08-03,07,0729,U,74,X,2,1599.00
HOGAR-000228,ENHOGAR,2026-08-04,08,0830,R,81,NR,5,1736.00
HOGAR-000229,ENHOGAR,2026-08-05,09,0931,U,88,F,8,1873.00
HOGAR-000230,ENHOGAR,2026-08-06,10,1032,U,22,M,3,2010.00
HOGAR-000231,ENHOGAR,2026-08-07,11,1133,R,29,X,6,2147.00
HOGAR-000232,ENHOGAR,2026-08-08,12,1234,U,36,NR,1,2284.00
HOGAR-000233,ENHOGAR,2026-08-09,13,1335,U,43,F,4,2421.00
HOGAR-000234,ENHOGAR,2026-08-10,14,1436,R,50,M,7,2558.00
HOGAR-000235,ENHOGAR,2026-08-11,15,1537,U,57,X,2,2695.00
HOGAR-000236,ENHOGAR,2026-08-12,16,1638,U,64,NR,5,2832.00
HOGAR-000237,ENHOGAR,2026-08-13,17,1739,R,71,F,8,2969.00
HOGAR-000238,ENHOGAR,2026-08-14,18,1840,U,78,M,3,3106.00
HOGAR-000239,ENHOGAR,2026-08-15,19,1941,U,85,X,6,3243.00
HOGAR-000240,ENHOGAR,2026-08-16,20,2042,R,19,NR,1,3380.00
HOGAR-000241,ENHOGAR,2026-08-17,21,2143,U,26,F,4,3517.00
HOGAR-000242,ENHOGAR,2026-08-18,22,2244,U,33,M,7,3654.00
HOGAR-000243,ENHOGAR,2026-08-19,01,0145,R,40,X,2,3791.00
HOGAR-000244,ENHOGAR,2026-08-20,02,0246,U,47,NR,5,3928.00
HOGAR-000245,ENHOGAR,2026-08-21,03,0347,U,54,F,8,4065.00
HOGAR-000246,ENHOGAR,2026-08-22,04,0448,R,61,M,3,4202.00
HOGAR-000247,ENHOGAR,2026-08-23,05,0549,U,68,X,6,4339.00
HOGAR-000248,ENHOGAR,2026-08-24,06,0650,U,75,NR,1,4476.00
HOGAR-000249,ENHOGAR,2026-08-25,07,0751,R,82,F,4,4613.00
HOGAR-000250,ENHOGAR,2026-08-26,08,0852,U,89,M,7,4750.00
HOGAR-000251,ENHOGAR,2026-08-27,09,0953,U,23,X,2,4887.00
HOGAR-000252,ENHOGAR,2026-08-28,10,1054,R,30,NR,5,5024.00
HOGAR-000253,ENHOGAR,2026-08-01,11,1155,U,37,F,8,5161.00
HOGAR-000254,ENHOGAR,2026-08-02,12,1256,U,44,M,3,5298.00
HOGAR-000255,ENHOGAR,2026-08-03,13,1357,R,51,X,6,5435.00
HOGAR-000256,ENHOGAR,2026-08-04,14,1458,U,58,NR,1,5572.00
HOGAR-000257,ENHOGAR,2026-08-05,15,1559,U,65,F,4,5709.00
HOGAR-000258,ENHOGAR,2026-08-06,16,1660,R,72,M,7,5846.00
HOGAR-000259,ENHOGAR,2026-08-07,17,1761,U,79,X,2,5983.00
HOGAR-000260,ENHOGAR,2026-08-08,18,1862,U,86,NR,5,6120.00
HOGAR-000261,ENHOGAR,2026-08-09,19,1963,R,20,F,8,6257.00
HOGAR-000262,ENHOGAR,2026-08-10,20,2064,U,27,M,3,6394.00
HOGAR-000263,ENHOGAR,2026-08-11,21,2165,U,34,X,6,6531.00
HOGAR-000264,ENHOGAR,2026-08-12,22,2266,R,41,NR,1,6668.00
HOGAR-000265,ENHOGAR,2026-08-13,01,0167,U,48,F,4,6805.00
HOGAR-000266,ENHOGAR,2026-08-14,02,0268,U,55,M,7,6942.00
HOGAR-000267,ENHOGAR,2026-08-15,03,0369,R,62,X,2,7079.00
HOGAR-000268,ENHOGAR,2026-08-16,04,0470,U,69,NR,5,7216.00
HOGAR-000269,ENHOGAR,2026-08-17,05,0571,U,76,F,8,7353.00
HOGAR-000270,ENHOGAR,2026-08-18,06,0672,R,83,M,3,7490.00
HOGAR-000271,ENHOGAR,2026-08-19,07,0773,U,90,X,6,7627.00
HOGAR-000272,ENHOGAR,2026-08-20,08,0874,U,24,NR,1,7764.00
HOGAR-000273,ENHOGAR,2026-08-21,09,0975,R,31,F,4,7901.00
HOGAR-000274,ENHOGAR,2026-08-22,10,1076,U,38,M,7,8038.00
HOGAR-000275,ENHOGAR,2026-08-23,11,1177,U,45,X,2,8175.00
HOGAR-000276,ENHOGAR,2026-08-24,12,1278,R,52,NR,5,8312.00
HOGAR-000277,ENHOGAR,2026-08-25,13,1379,U,59,F,8,8449.00
HOGAR-000278,ENHOGAR,2026-08-26,14,1480,U,66,M,3,986.00
HOGAR-000279,ENHOGAR,2026-08-27,15,1581,R,73,X,6,1123.00
HOGAR-000280,ENHOGAR,2026-08-28,16,1682,U,80,NR,1,1260.00
HOGAR-000281,ENHOGAR,2026-08-01,17,1783,U,87,F,4,1397.00
HOGAR-000282,ENHOGAR,2026-08-02,18,1884,R,21,M,7,1534.00
HOGAR-000283,ENHOGAR,2026-08-03,19,1985,U,28,X,2,1671.00
HOGAR-000284,ENHOGAR,2026-08-04,20,2086,U,35,NR,5,1808.00
HOGAR-000285,ENHOGAR,2026-08-05,21,2187,R,42,F,8,1945.00
HOGAR-000286,ENHOGAR,2026-08-06,22,2288,U,49,M,3,2082.00
HOGAR-000287,ENHOGAR,2026-08-07,01,0189,U,56,X,6,2219.00
HOGAR-000288,ENHOGAR,2026-08-08,02,0290,R,63,NR,1,2356.00
HOGAR-000289,ENHOGAR,2026-08-09,03,0391,U,70,F,4,2493.00
HOGAR-000290,ENHOGAR,2026-08-10,04,0492,U,77,M,7,2630.00
HOGAR-000291,ENHOGAR,2026-08-11,05,0593,R,84,X,2,2767.00
HOGAR-000292,ENHOGAR,2026-08-12,06,0694,U,18,NR,5,2904.00
HOGAR-000293,,2026-08-13,07,0795,U,25,F,8,3041.00
HOGAR-000294,ENHOGAR,2026-08-14,08,0896,R,32,M,3,3178.00
HOGAR-000295,ENHOGAR,2026-08-15,09,0997,U,39,X,6,3315.00
HOGAR-000296,ENHOGAR,2026-08-16,10,1098,U,46,NR,1,3452.00
HOGAR-000297,ENHOGAR,2026-08-17,11,1199,R,53,F,4,3589.00
HOGAR-000298,ENHOGAR,2026-08-18,12,1201,U,60,M,7,3726.00
HOGAR-000299,ENHOGAR,2026-08-19,13,1302,U,67,X,2,3863.00
HOGAR-000300,ENHOGAR,2026-08-20,14,1403,R,74,NR,5,4000.00
HOGAR-000301,ENHOGAR,2026-08-21,15,1504,U,81,F,8,4137.00
HOGAR-000302,ENHOGAR,2026-08-22,16,1605,U,88,M,3,4274.00
HOGAR-000303,ENHOGAR,2026-08-23,17,1706,R,22,X,6,4411.00
HOGAR-000304,ENHOGAR,2026-08-24,18,1807,U,29,NR,1,4548.00
HOGAR-000305,ENHOGAR,2026-08-25,19,1908,U,36,F,4,4685.00
HOGAR-000306,ENHOGAR,2026-08-26,20,2009,R,43,M,7,4822.00
HOGAR-000307,ENHOGAR,2026-08-27,21,2110,U,50,X,2,4959.00
HOGAR-000308,ENHOGAR,2026-08-28,22,2211,U,57,NR,5,5096.00
HOGAR-000309,ENHOGAR,2026-08-01,01,0112,R,64,F,8,5233.00
HOGAR-000310,ENHOGAR,2026-08-02,02,0213,U,71,M,3,5370.00
HOGAR-000311,ENHOGAR,2026-08-03,03,0314,U,78,X,6,5507.00
HOGAR-000312,ENHOGAR,2026-08-04,04,0415,R,85,NR,1,5644.00
HOGAR-000313,ENHOGAR,2026-08-05,05,0516,U,19,F,4,5781.00
HOGAR-000314,ENHOGAR,2026-08-06,06,0617,U,26,M,7, 5918.00 
HOGAR-000315,ENHOGAR,2026-08-07,07,0718,R,33,X,2,6055.00
HOGAR-000316,ENHOGAR,2026-08-08,08,0819,U,40,NR,5,6192.00
HOGAR-000317,ENHOGAR,2026-08-09,09,0920,U,47,F,8,6329.00
HOGAR-000318,ENHOGAR,2026-08-10,10,1021,R,54,M,3,6466.00
HOGAR-000319,ENHOGAR,2026-08-11,11,1122,U,61,X,6,6603.00
HOGAR-000320,ENHOGAR,2026-08-12,12,1223,U,68,NR,1,6740.00
HOGAR-000321,ENHOGAR,2026-08-13,13,1324,R,75,F,4,6877.00
HOGAR-000322,ENHOGAR,2026-08-14,14,1425,U,82,M,7,7014.00
HOGAR-000323,ENHOGAR,2026-08-15,15,1526,U,89,X,2,7151.00
HOGAR-000324,ENHOGAR,2026-08-16,16,1627,R,23,NR,5,7288.00
HOGAR-000325,ENHOGAR,2026-08-17,17,1728,U,30,F,8,7425.00
HOGAR-000326,ENHOGAR,2026-08-18,18,1829,U,37,M,3,7562.00
HOGAR-000327,ENHOGAR,2026-08-19,19,1930,R,44,X,6,7699.00
HOGAR-000328,ENHOGAR,2026-08-20,20,2031,U,51,NR,1,7836.00
